mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.04216408729553223,0.0005714893341064453,0.0038260221481323242,1.1563301086425781e-05,3,sqrt,2,2,50,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.17948949337005615,0.016131997108459473,0.009509563446044922,0.0005095005035400391,3,sqrt,1,5,200,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.08705306053161621,0.0011184215545654297,0.006143331527709961,0.0005297660827636719,3,sqrt,1,5,100,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.04460465908050537,5.9485435485839844e-05,0.00379180908203125,3.170967102050781e-05,3,sqrt,1,5,50,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.16609370708465576,0.0025693178176879883,0.009096741676330566,9.047985076904297e-05,3,sqrt,1,2,200,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
0.08415639400482178,0.0005775690078735352,0.006154775619506836,0.00030612945556640625,3,sqrt,1,2,100,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
0.08548808097839355,0.003482341766357422,0.005451202392578125,5.53131103515625e-05,3,sqrt,2,5,100,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.08778238296508789,0.002309560775756836,0.005308270454406738,0.0003153085708618164,3,log2,2,5,100,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.16615557670593262,0.002321004867553711,0.008336305618286133,0.00010800361633300781,3,log2,2,5,200,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.045612454414367676,0.006455063819885254,0.003768324851989746,0.0002459287643432617,5,sqrt,1,2,50,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
